"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"1" -0.230093761651231 0.03493385684051 6.83148305243807 51.3031584862944 6.6156014355323e-11 2.20281901265848e-06 "ILMN_1795404" "SPOP"
"4" -0.442171681648666 0.0699187258733527 7.21084104937879 44.9342589218955 3.41409943046186e-10 3.21222963580995e-06 "ILMN_2365196" "PDCD10"
"5" -0.834976884446736 0.0536464606030594 10.6330229479117 44.9330350972085 3.4152309643297e-10 3.21222963580995e-06 "ILMN_1660723" "RDH13"
"6" -0.332123414421977 0.0482968469750888 7.99543927191438 42.4398584511415 6.80301875898743e-10 5.33220610329435e-06 "ILMN_2180582" "PNPLA8"
"7" 0.438118694965633 -0.0282246749954014 9.71194115622613 41.5811069284341 8.68393816202296e-10 5.83411776976594e-06 "ILMN_1710697" "BUD31"
"9" -0.211454680807217 0.0388506230001576 7.793252981514 39.7179297154652 1.49350668423237e-09 7.80407026067557e-06 "ILMN_2316236" "HOPX"
"10" 0.0107682830399442 0.00736379048250515 7.92165465146469 38.0212992988751 2.48608335048662e-09 9.31050274167368e-06 "ILMN_1730867" "AZU1"
"11" -0.369190465729127 0.0611796159261785 7.11963216004685 38.0055333941901 2.49806778505791e-09 9.31050274167368e-06 "ILMN_1775121" "CCDC177"
"12" -0.308937088849402 0.014136569721607 10.2388266744306 37.9514059539864 2.53968087717779e-09 9.31050274167368e-06 "ILMN_1758085" "LRR1"
"14" 0.315502977846947 -0.0193664936942392 11.1492744494077 36.7360740530148 3.69639578664975e-09 1.16293036206099e-05 "ILMN_3212737" "B3GALT5-AS1"
"15" -0.0165714908048603 0.0143604723955523 11.0742267322182 36.7249427854595 3.70927010098554e-09 1.16293036206099e-05 "ILMN_2066151" "TEK"
"17" -0.329709615948803 0.0536718601190138 7.33342271586615 35.5739094642994 5.3352328222957e-09 1.35796501951688e-05 "ILMN_2404539" "TMEM230"
"19" -0.443794626576574 0.0264388002589393 8.31755531078982 35.3061381149724 5.81268527839602e-09 1.35796501951688e-05 "ILMN_1761275" "FUT6"
"20" -0.0921526366921648 0.0147100702978591 6.68930478771849 35.1869303339351 6.03962308140217e-09 1.35796501951688e-05 "ILMN_1677866" "FOLH1B"
"21" -0.49542989798678 0.0328261393051449 9.71241090358269 35.1744647105752 6.06389074803404e-09 1.35796501951688e-05 "ILMN_1903159" "PPM1A"
"22" -0.138643068568445 0.0192968931935933 6.70977078571888 34.7583184703688 6.93635566087335e-09 1.48274060917978e-05 "ILMN_3237685" "SNORD70"
"23" -0.110370472744913 0.0189487228516206 6.75904174772013 33.8534094975149 9.32664923429991e-09 1.90701591387242e-05 "ILMN_1670518" "WDFY3"
"24" -0.353187834612286 0.0597833033217339 8.00077760533836 33.3138472094999 1.11558282019995e-08 2.18598453618179e-05 "ILMN_1717677" "ZFHX2"
"25" -0.536463822851104 0.0371651572680747 9.61164103751795 32.8323066535175 1.31107171674813e-08 2.46628322780923e-05 "ILMN_1793841" "ZNF542P"
"26" -0.194777356193044 0.0368638854882139 10.6897531819868 32.4958573997757 1.4690208147701e-08 2.65711964911571e-05 "ILMN_1709626" "IFI27L1"
"27" 0.250404764967258 -0.0191462052102967 9.0651292906096 32.294506341517 1.57309382615371e-08 2.70796483814901e-05 "ILMN_2324672" "USF2"
"28" -0.829764326071442 0.0663376896512396 7.07395511640458 32.2223008276228 1.61229513201013e-08 2.70796483814901e-05 "ILMN_1766657" "STOM"
"31" -0.101509673635326 0.0282341160477849 11.0103801124956 31.4365924381018 2.11250885711877e-08 3.20474408169618e-05 "ILMN_1748109" "PEX1"
"33" -0.0783770068238023 0.0129821102548834 6.72333414578394 30.6708145022907 2.76079582846807e-08 3.88146178325103e-05 "ILMN_1673119" "AFF1"
"34" 0.128348902354762 -0.00548847140125676 8.06059783937304 30.6012138671481 2.82938366971441e-08 3.88146178325103e-05 "ILMN_2117885" "FAM122A"
"35" 0.368745793916104 -0.0211178283335586 11.726563583869 30.5424199752067 2.8887293189969e-08 3.88146178325103e-05 "ILMN_3241218" "ANKIB1"
"36" -0.0958430611955892 0.0283518681385656 9.06980089256385 30.1830639173629 3.28135254396993e-08 4.18870589577337e-05 "ILMN_2358919" "TP53I3"
"37" -0.319638555548325 0.0169126965581661 10.0475109983521 30.07479967979 3.41043959251893e-08 4.18870589577337e-05 "ILMN_3260910" "CSAG3"
"38" -0.215254171177424 0.0083785603177818 8.78027681582248 30.0653771579852 3.42192623200929e-08 4.18870589577337e-05 "ILMN_1786069" "DMD"
"39" 0.360103409250057 -0.0221782819466272 10.0347215041067 29.9690272610773 3.5417642609721e-08 4.18870589577337e-05 "ILMN_1805469" "KRTAP19-5"
"40" 0.154350614730157 -0.00237027743730288 8.59336249722677 29.9525235758268 3.56273360191662e-08 4.18870589577337e-05 "ILMN_1683215" "ZBED3"
"41" 0.394739995932278 -0.0307342500045624 12.6784024282668 29.5004659139085 4.1914227875076e-08 4.8076641670953e-05 "ILMN_1830462" "XYLT1"
"42" -0.233748156142381 0.0483389263729757 9.15271018355719 29.211524915929 4.65409872898524e-08 5.19422727289248e-05 "ILMN_1781086" "HSFX2"
"43" 0.209731711780563 -0.0150858193577483 8.59598260585041 29.0934136263567 4.85854996833233e-08 5.19422727289248e-05 "ILMN_1735502" "FAM181B"
"44" -0.143267999787491 0.0291540470199376 7.14940560623025 29.0927158899095 4.85978565976161e-08 5.19422727289248e-05 "ILMN_3234936" "EYS"
"45" -0.112939876547637 0.0185102529633225 6.87795247771311 28.6706312898193 5.6720153783737e-08 5.92763420475908e-05 "ILMN_3272227" "PLEKHA6"
"46" -0.599715086811826 0.0915516477328375 8.17226378953257 28.5132297071243 6.01073484177165e-08 6.14506169867038e-05 "ILMN_3249152" "VSX2"
"47" -0.360083093398864 0.0584050913194116 7.67899326491451 28.2813781063517 6.54926820840812e-08 6.55316990010674e-05 "ILMN_3310578" "MIR548Q"
