"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"3" -0.203537192587127 0.00537890434168374 7.75145672980537 52.3869630890728 1.48279851032827e-10 1.97893564062591e-06 "ILMN_1662492" "GDNF"
"4" -0.0874632406388232 0.0245816250478528 7.64170046115685 51.8237257030116 1.68319778908388e-10 1.97893564062591e-06 "ILMN_3248685" "LINC01061"
"5" -0.069454909557989 0.0114784027636654 6.69342655622656 46.3367603634164 6.13843120630904e-10 5.77356285540604e-06 "ILMN_2410194" "SPRED3"
"9" -0.218481259541911 0.0148994946038647 7.50611668732809 41.3385392683943 2.21527663186688e-09 1.15755588270484e-05 "ILMN_2404850" "RPL14"
"12" -0.387847644167222 0.064377670081117 7.49618233424451 38.8018682159686 4.44098463188819e-09 1.6667677280047e-05 "ILMN_1672559" "ADGRF1"
"13" 0.156257710884204 -0.00474892051278546 7.92427424978517 38.6708637395262 4.60746373736096e-09 1.6667677280047e-05 "ILMN_1907326" "TDRG1"
"15" -0.145514624958114 0.0253802506635234 8.0961625391383 37.7085071515872 6.05448358268160e-09 1.89820169284233e-05 "ILMN_1750018" "SEL1L2"
"16" 0.15106771772911 0.00153899462005001 8.3463175614091 37.1395140678775 7.13228636963708e-09 2.09635727119558e-05 "ILMN_2224907" "SMIM14"
"17" -0.318639040354024 0.0586644679219137 7.80593470538729 36.0973309318769 9.67350715749012e-09 2.67603349766144e-05 "ILMN_2264916" "EDNRB"
"19" 0.227784632415432 -0.00935388901263648 9.33683494614085 34.7666955533431 1.44059244421356e-08 3.56569376139344e-05 "ILMN_1727236" "SC5D"
"20" -0.33486238324801 0.0210626149750394 7.89094522278109 34.532369654591 1.5469491303048e-08 3.63749618499872e-05 "ILMN_1659682" "GALK2"
"21" -0.200138089383631 0.0115047845962493 7.68381401947837 34.3507793350426 1.63511954049045e-08 3.66173341667546e-05 "ILMN_1739259" "UBE4A"
"22" -0.418015693192453 0.067950963497606 7.68214433086622 33.1487918882387 2.37224947903767e-08 5.07100675000835e-05 "ILMN_2283185" "PALM"
"23" -0.0234815802324674 0.0141501520405698 7.29407377539597 32.5923984956674 2.82706820989057e-08 5.78049407716233e-05 "ILMN_1803479" "USP32"
"24" 0.0429136458648448 -0.0199675130313979 10.6644877047746 32.352706008009 3.05089119191998e-08 5.97822129056719e-05 "ILMN_1695797" "NCOA6"
"26" -0.200179098703041 0.00881522821204427 8.59743606164388 31.8628065889539 3.56929030223698e-08 6.26092634017916e-05 "ILMN_1754195" "RPL31"
"28" 0.0707229136994142 0.0055021986467313 7.20964093759207 31.6297915479957 3.84812183540032e-08 6.46319548840022e-05 "ILMN_1656257" "LINC00917"
"30" -0.266645309070993 0.0169975834149521 8.98030837190233 30.8814963374859 4.91208420779412e-08 7.69229336107791e-05 "ILMN_1715404" "GPR174"
"31" 0.0312307801036394 0.00429080390680968 7.02887586632376 30.7850106748176 5.07061950738741e-08 7.69229336107791e-05 "ILMN_1832033" "LOC100128059"
"36" -0.130399113990632 0.00690140069144273 8.78642976934819 29.949284258174 6.69542264921777e-08 8.51495259789437e-05 "ILMN_1797797" "OR1N2"
"37" -0.299190179991619 0.0451433071440415 7.38532999933566 29.8702142309303 6.87566916588727e-08 8.51495259789437e-05 "ILMN_3310578" "MIR548Q"
"38" 0.334810209988532 -0.0182851024410676 8.09416425892005 29.8681986836189 6.88033083949958e-08 8.51495259789437e-05 "ILMN_1749297" "ACTL6A"
"39" 0.0876933455620304 -0.00443540215536858 13.872822273179 29.6830323252824 7.32330903214743e-08 8.83078402984178e-05 "ILMN_3309774" "MIR324"
"41" -0.136597614831213 0.00493007424211107 8.6885189611867 29.3819489340964 8.10978128334203e-08 9.04233189611421e-05 "ILMN_1813264" "ZMAT1"
"42" 0.0966081572259078 0.00897091519454812 7.68682833389309 29.3091689623008 8.31310077065207e-08 9.04233189611421e-05 "ILMN_1730698" "ODF2"
"43" -0.120247920121748 -0.000363538362686171 12.5746971895359 29.2883767082992 8.37217936832934e-08 9.04233189611421e-05 "ILMN_1662482" "PLPPR4"
"44" -0.0700085558711999 0.0176914355946295 7.35101014625749 29.2577140377194 8.46012170258198e-08 9.04233189611421e-05 "ILMN_1687419" "DHX8"
"45" 0.286444800956353 -0.00780669220014685 9.89467727954194 29.0968027444323 8.93805550868221e-08 9.18589503748909e-05 "ILMN_2104409" "RPL29P2"
"47" 0.200232567891596 -0.00173548810843097 8.33479038976978 28.9421436139424 9.42462622954852e-08 9.26404891780798e-05 "ILMN_1762899" "EGR1"
"49" -0.316015024003285 0.0233523597729992 6.74995710222889 28.7846353398291 9.9492993266459e-08 9.54889079047966e-05 "ILMN_1778543" "DHFR"
"50" 0.320967907432053 -0.00944145849353483 9.31881345529836 28.6246503720912 1.05142274144029e-07 9.88926173689077e-05 "ILMN_3236503" "PDCD11"
"51" 0.203606200379182 0.0003287573448605 8.88576315675811 28.5265061412534 1.08776364413196e-07 9.89124193333163e-05 "ILMN_1805766" "POU6F1"
"54" 0.727527347519742 -0.0474019214736466 10.1650031605711 28.3575887677565 1.15348291106591e-07 9.94465030662101e-05 "ILMN_2366654" "NR5A2"
"55" -0.237176938626266 0.035792150050374 6.97619051431039 28.3182105853161 1.16940385860694e-07 9.94465030662101e-05 "ILMN_2404539" "TMEM230"
"57" 0.231713326594692 -0.00559985169569197 8.23286310148394 28.2314008342037 1.20533526298673e-07 9.94465030662101e-05 "ILMN_2391150" "FILIP1L"
"58" 0.0889951869207856 0.00424186603774547 8.90739211575628 28.0901459594218 1.26634124450739e-07 0.000102678441459817 "ILMN_1735045" "A4GALT"
"59" -0.09511230931795 0.000950307762306429 9.33683572245366 27.9958861466604 1.30887652091923e-07 0.000103504714692493 "ILMN_1673591" "CYP3A43"
"60" -0.113598867554616 0.00159047435282961 7.3883883481792 27.9652907867413 1.3230082313695e-07 0.000103504714692493 "ILMN_1754332" "SNORD14C"
"61" -0.307250827699331 0.0191707422231274 7.17984521417271 27.9235321582887 1.34255924050397e-07 0.000103504714692493 "ILMN_1757536" "USP40"
"62" -0.18164567319927 0.00980290467275066 7.01096913175167 27.7380963817131 1.43317538743431e-07 0.000108708664710098 "ILMN_1724394" "DEFB128"
"63" -0.713322658533052 0.0446879716528032 9.06205947508316 27.6565261137887 1.47508118270271e-07 0.0001099128461258 "ILMN_1903159" "PPM1A"
"64" -0.227679965388831 0.0193237670817259 6.73015166906576 27.6171150655528 1.49579445267738e-07 0.0001099128461258 "ILMN_1675007" "ZSCAN5A"
