colon.DE.entrez
112724
84970
2528
23314
115795
10452
122769
7020
122509
114327
389903
285527
152015
266977
2040
8694
30812
10984
116534
401149
22839
9732
442898
767577
54885
64816
8718
90231
54926
150379
178
100113391
2324
131909
84133
339529
57720
56936
442903
55270
81575
161
63827
400221
23023
7292
8528
9589
677797
29087
677811
5291
10312
55314
55304
6741
65988
8048
10856
548644
538
2668
11277
26781
154754
9672
3460
9721
5494
54443
22986
1719
11235
23389
9536
79947
29957
1910
10859
11136
65998
22944
346007
64960
79943
83706
79679
117145
83943
139231
7392
1674
80217
50856
3141
151126
22807
64858
83478
83861
85319
100130311
5001
101752399
89853
57463
4830
23037
400710
29074
105
55846
9966
4915
8022
5064
2030
344807
55230
51121
3691
58155
10413
3975
51478
57497
81031
342618
26747
283303
84798
4204
6324
55505
54832
22882
3835
9217
166785
4528
389834
57572
9559
9440
494325
51135
57143
84310
163
81578
344658
2618
10001
100132273
55238
51056
3768
79154
140838
442916
5343
347454
51101
9878
54059
147947
6310
2202
10911
55052
56676
23037
80868
5152
56979
125206
693156
29058
55157
4092
128853
22902
390167
9371
5365
92002
4703
57146
26797
60559
51716
282973
619505
653162
10158
285268
29125
9754
2695
6368
442901
79979
1538
6235
10458
6160
56995
64789
84899
79149
399473
8509
9885
138050
84140
79290
27296
9540
84909
6837
23682
4839
10734
339500
100289656
29942
8455
6581
1588
7504
643763
285961
57381
2645
54840
40
768220
3814
9342
9667
944
151888
956
403253
4301
389015
3445
3067
441234
114336
27091
1915
10750
5992
9521
10804
3816
55311
729609
7401
57126
51161
6524
112479
245939
401466
23479
23164
1939
1173
255798
155060
11047
127059
6232
140831
7257
54993
3906
55763
5435
613038
29781
1262
6094
80307
9303
6284
442897
286187
84688
25973
1236
643988
5414
5049
9244
6799
81794
440905
285596
84932
5663
1418
353514
101
7746
6999
29803
80215
1510
9319
10642
5339
653677
27019
5976
57154
6059
10798
23266
163071
1938
51338
81309
649159
6450
6130
641516
4133
23641
6231
729438
161829
84109
57019
399744
285016
6193
6154
23527
5511
693140
1183
822
8408
1869
3817
10768
219348
724030
10093
51150
6774
79804
6189
170082
2067
22806
8492
3112
6139
8795
125997
102157402
79647
84612
6369
54558
51542
124221
346157
54741
3329
3953
5515
570
7322
768214
6233
145226
132112
2643
79177
150677
3107
7643
4353
79748
1496
10332
7957
842
349196
692108
152687
256302
647024
2132
26027
390054
23416
158521
51060
100507679
8554
10762
728294
414152
8214
163486
11057
80726
127
442912
10486
51522
147040
51149
5238
440107
79810
1832
2585
100128905
10223
144404
4841
84677
1009
10648
23493
