tonsil.DE.entrez
122769
112724
2528
389903
5494
56936
266977
11235
54887
122509
114327
50856
84525
379013
4496
8543
51255
728689
909
146556
9701
8224
58511
65012
11191
139735
84261
284618
54467
145447
5064
118424
5208
2679
285852
100130086
388381
1910
729609
55816
253639
1027
152015
4018
9824
51065
100302149
4173
925
3397
8648
5279
84133
51022
54932
23114
119016
338917
147947
100507460
6233
2800
6477
23521
29058
79866
55303
2040
343702
80343
26149
29957
23250
1192
339263
399473
6146
677811
158055
100313841
55671
221078
100302289
401149
85446
26286
9774
78992
54768
5099
3990
10785
126520
58528
64789
114819
100506627
10626
283150
6536
83752
393046
55726
58526
84327
8852
57556
2534
724024
55911
94015
50640
51123
6347
23765
5241
23371
347688
3981
83758
100130992
150135
388551
4128
10798
6558
29843
8498
2280
60675
13
168448
3985
219595
50810
140807
5889
401250
51151
285641
10906
9577
27248
10994
100189589
3817
30000
50486
149643
55194
5623
51255
9500
9142
54542
112849
552891
55668
390999
7010
90592
197187
8418
6232
26953
63897
8694
11136
11066
53905
6157
6187
29118
4763
4817
54505
60559
55786
5223
2005
1981
57799
28991
861
5189
57512
80183
11274
9446
92
55680
6856
285205
65009
9877
114883
5160
387129
10686
132720
4638
153571
23316
27098
54432
401994
51726
339487
283788
3382
51763
338785
253724
10769
84651
7738
161357
100505715
401577
219432
80209
285987
122622
80864
389015
4857
3176
9644
54496
9583
494326
27250
10219
