blood.DE.entrez
112724
5034
51006
51003
5286
23250
171425
1173
407835
92304
338917
55190
11099
693120
203522
1592
331
50940
5965
122769
8717
100313841
29058
100130992
50640
4496
2645
84327
7091
400931
54860
138046
143630
5160
5189
10214
51225
6560
11235
51082
84675
27189
64112
10538
51207
8405
282618
6154
286557
84525
284395
57463
23542
9747
6231
114879
389903
51255
100133308
5319
23219
3320
50831
408029
79017
379013
375248
6187
4914
51184
9754
2528
337972
5494
9126
3768
3078
60559
9500
54887
9367
253832
9031
29121
283652
6094
643714
1418
23682
728689
4023
4145
57526
26137
566
64423
4886
55966
123264
7392
93589
4094
57146
1915
55684
27018
54663
9407
151246
2040
9443
63827
56936
5037
5991
4773
84460
909
79679
9924
79315
80343
1198
91662
145501
1592
8896
9824
388381
151174
348235
6128
93974
10001
100130086
23566
8891
219595
64062
167153
6249
9648
147947
10807
196074
29968
346007
285194
7292
83593
509
5511
6047
57136
653399
9826
343702
26100
554250
125997
3908
389206
285368
23647
57717
388931
3916
29086
7464
25901
10626
284365
9100
10777
114041
9002
79473
5972
50856
393046
440508
114625
6001
128240
375056
26256
100506736
401994
284618
6280
441251
9738
9526
5298
51759
65078
55200
54932
8476
255809
328
11339
23526
23547
3728
64131
23568
442918
5998
55660
3178
9590
5786
3568
10076
10160
4118
4809
129025
23394
7922
58155
2585
3460
346606
729438
80230
79864
869
445582
401149
401149
150000
1893
4241
5555
284018
79447
11011
349196
27293
1075
10317
25936
4600
6595
100126323
4616
56106
26953
5253
79888
387521
8091
6342
78992
6136
85451
80333
9173
3301
5383
54664
3651
8543
6477
64768
7419
57452
50810
253639
808
7643
283284
100507290
1060
219
65012
5875
166785
7010
151126
122509
84636
6490
9635
140825
54768
146542
65989
6548
199731
91754
25819
51542
23143
285419
401237
10663
282966
284677
7818
10198
285501
10798
6635
5663
7473
4869
24138
256076
344191
266977
6239
25864
3312
2030
441058
91749
283571
10855
146556
5478
196740
26220
255967
58488
3275
693155
85013
5141
3852
10059
677811
6812
387712
