"" "days" "I.days.2." "AveExpr" "F" "P.Value" "adj.P.Val" "probe.id" "symbol"
"1" -0.472288759859926 0.0308847441771566 9.84001813854895 50.00655236268 6.37359941871704e-11 1.43208193718465e-06 "ILMN_1903159" "PPM1A"
"2" -0.409124265099105 0.0533636734024275 7.87474336439821 49.1674559463769 7.91526218236275e-11 1.43208193718465e-06 "ILMN_2180582" "PNPLA8"
"3" -0.267181890167834 0.0383278997517425 6.85581316539949 48.6178638301878 9.13550610605163e-11 1.43208193718465e-06 "ILMN_1795404" "SPOP"
"4" -0.0309248790322538 -0.00811187294618979 9.79591285891401 47.2705790564046 1.30497257692323e-10 1.53425625868864e-06 "ILMN_1694603" "SMARCC1"
"5" -0.309067564930126 0.0480092880291385 7.80625990054737 46.2246751267118 1.73010648476307e-10 1.62726895530876e-06 "ILMN_2316236" "HOPX"
"6" 0.325866973310654 -0.0259254556892767 9.85115735245026 45.142912228117 2.32747243872194e-10 1.82427289747026e-06 "ILMN_1656066" "TNPO2"
"7" -0.157657679711968 0.0240308556589654 6.76172047015644 44.2639943813527 2.97301710421528e-10 1.91611067255678e-06 "ILMN_1770892" "YY1"
"9" -0.142997058832421 0.0091005919101776 8.22365155380195 43.1307852362144 4.09763359804655e-10 2.14115014276592e-06 "ILMN_1659215" "CYP4B1"
"11" -0.42270998681262 0.025373510298393 8.40535056609626 41.5346895505061 6.50555570373569e-10 2.74236826785056e-06 "ILMN_1761275" "FUT6"
"12" -0.138846419389912 0.0221548468492605 6.86202559985948 41.2868055036224 6.99762252577332e-10 2.74236826785056e-06 "ILMN_3272227" "PLEKHA6"
"13" -0.859626740103744 0.0590186811056609 10.836244439497 40.9386079112405 7.75636848486389e-10 2.80589613158599e-06 "ILMN_1660723" "RDH13"
"15" -0.0471506872893408 -0.00270419078003144 8.2336379321614 38.3947387194896 1.67740771631041e-09 5.2590086721764e-06 "ILMN_1768784" "PSMC2"
"16" -0.30629686850459 0.0480441698544098 10.6614411643462 37.9752462249366 1.91137142571989e-09 5.61799846304717e-06 "ILMN_1709626" "IFI27L1"
"18" -0.0683784479499391 0.0213388517971833 9.31295283763836 35.8668759061807 3.74141860115826e-09 9.77507966529281e-06 "ILMN_3249553" "ARRDC3-AS1"
"19" -0.320766365075101 0.0145163587003045 10.3377003435253 35.4692454972673 4.25935357190784e-09 1.05425726199833e-05 "ILMN_1758085" "LRR1"
"21" -0.154138020880731 0.0205246195368857 6.86921002901276 34.9300515507104 5.08603851212469e-09 1.13898199594381e-05 "ILMN_1750459" "ANKRD36"
